"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene-YBL067C",8851.11356791129,-2.60745137789766,0.214265195271359,-12.1692717036727,4.53107229412695e-34,4.39583721334839e-32
"gene-YNL191W",5470.74949273082,-2.66244596927345,0.21884392568348,-12.1659578211196,4.71877607204806e-34,4.50857604702046e-32
"gene-YDR384C",5857.36619867534,-4.14282660240075,0.341929038090057,-12.1160420464483,8.68531997077711e-34,8.17457130383887e-32
"gene-YFL054C",4324.09284314412,-2.9078158777684,0.240699192011933,-12.0807047728862,1.33569919664386e-33,1.23866457853473e-31
"gene-YDL222C",8430.67785413448,-2.61871415720128,0.219745485063107,-11.917032818441,9.64838737191747e-33,8.81778706772631e-31
"gene-YDL204W",28763.4855013015,-2.48167768315525,0.214113326604627,-11.5904867880448,4.60507861354388e-31,4.14851796242967e-29
"gene-YOR128C",30745.3512619454,2.76471984043617,0.239035420932574,11.5661512827257,6.11653374867584e-31,5.43251574917604e-29
"gene-YDL213C",16765.2957700436,3.02200167090312,0.26196499519542,11.5358987892591,8.69739915983684e-31,7.61747209749043e-29
"gene-YML042W",19021.2504342021,-4.10141745036338,0.355691121548531,-11.5308401078653,9.22391832343642e-31,7.96794917090274e-29
"gene-YPR026W",13696.7904574248,-2.46036782353608,0.213958885690858,-11.4992551750853,1.33058657047759e-30,1.13387552884212e-28
"gene-YPR030W",18624.5983269054,-3.2269910199506,0.281258353998164,-11.4734050529631,1.79456119828956e-30,1.50886705552186e-28
"gene-YLR174W",6575.65905632843,-2.96565900392297,0.259079086657433,-11.4469255013405,2.43634077145009e-30,2.0215216979953e-28
"gene-YNL202W",10153.6482851806,-3.87639540344116,0.342434726539525,-11.3201001621947,1.04352623647722e-29,8.54607330808484e-28
"gene-YPL134C",6767.47238874982,-2.85423356486966,0.252522944003672,-11.3028682448283,1.27000980316026e-29,1.02675407932418e-27
"gene-YGL255W",22492.7558973793,5.45917431568323,0.488424392243676,11.1771123686215,5.27794765776882e-29,4.16034224123627e-27
"gene-YJR095W",5343.38989348286,-5.06146492993647,0.45281953662856,-11.1776646555961,5.24521139365499e-29,4.16034224123627e-27
"gene-YDL085W",12825.8430436849,-3.19549602200653,0.286403863503741,-11.1573076665734,6.59588976918465e-29,5.13502233141708e-27
"gene-YNL194C",13357.8666236989,-2.74321812268717,0.246494055753625,-11.1289422955865,9.07053887613435e-29,6.97546562840283e-27
"gene-YHR094C",7673.68911535617,4.70007093630374,0.423002099508761,11.1112236600291,1.10632961570253e-28,8.40543922484357e-27
"gene-YBR117C",9647.98963901325,-2.53707026734193,0.228480460461849,-11.1041016908558,1.19816053757523e-28,8.99476232136834e-27
"gene-YKL187C",5099.65209814806,-2.44940473834143,0.22183458605674,-11.0415818465518,2.40756900907592e-28,1.7861329613215e-26
"gene-YIL155C",19353.5412691259,-2.90281144282372,0.263655400286248,-11.0098690930365,3.42501007026856e-28,2.51140854687367e-26
"gene-YNL270C",3365.76623772989,-3.31537627128281,0.301446637494893,-10.9982194488369,3.89751619488352e-28,2.82502725573971e-26
"gene-YCL059C",6700.76825679868,2.72218812934022,0.248985769522987,10.9331072798074,8.0059142787102e-28,5.73696539108483e-26
"gene-YMR280C",21087.1611496522,-2.47036679378809,0.228010861999055,-10.8344259222104,2.36443767473367e-27,1.67529707605287e-25
